jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
GEROUX FLORENT,1830,5,FG,D,FT,S,41000,NA,36.52241016861956,train,NA,NA
SANTANA RICARDO JR,1540,5,CD,D,FT,S,58000,NA,37.43760399334443,train,NA,NA
SANTANA RICARDO JR,1540,5,KEE,D,FT,S,60000,NA,37.70648790998324,train,NA,NA
FRANCO MANUEL,1760,6,BEL,D,GD,AO,77000,NA,37.174721189591075,train,NA,NA
LOPEZ PASCACIO,1870,6,TAM,D,FT,G2,350000,NA,36.7682399307892,train,NA,NA
GAFFALIONE TYLER,1430,6,GP,D,FT,AO,48000,NA,37.712738525012895,train,NA,NA
LOPEZ PASCACIO,1540,6,GP,D,FT,AO,46000,NA,37.46877601998335,train,NA,NA
LEZCANO JOSE,1980,6,AQU,D,FT,G2,300000,NA,35.83119525789614,train,NA,NA
LEPAROUX JULIEN R,1870,6,KEE,D,GD,A,62000,NA,36.01016757672754,train,NA,NA
LEZCANO JOSE,1320,6,BEL,D,MY,S,75000,NA,37.66741071428571,train,NA,NA
CASTELLANO J J,1320,6,SAR,D,FT,S,83000,NA,37.453183520599254,train,NA,NA
GARCIA MARTIN,1870,7,SA,D,FT,AO,56000,NA,36.72940272709814,train,NA,NA
PRAT FLAVIEN,1870,7,KEE,D,FT,G3,200000,NA,36.40430189397544,train,NA,NA
GARCIA MARTIN,1870,7,SA,D,FT,S,54000,NA,36.72940272709814,train,NA,NA
GARCIA MARTIN,1760,7,SA,D,FT,S,54000,NA,37.692388231598784,train,NA,NA
CASTELLANO J J,1760,8,CD,D,WF,G3,250000,NA,37.317300715248265,train,NA,NA
CASTELLANO J J,1540,8,AQU,D,FT,G3,250000,NA,37.21204961606615,train,NA,NA
VARGAS JORGE A JR,1540,8,PRX,D,FT,AO,51000,NA,37.06754530477759,train,NA,NA
CASTELLANO J J,1980,8,AQU,D,FT,G2,300000,NA,35.88198812793479,train,NA,NA
CASTELLANO J J,1760,8,BEL,D,FT,S,75000,NA,37.321169396641096,train,NA,NA
CASTELLANO J J,1540,8,SAR,D,FT,S,83000,NA,37.12871287128713,train,NA,NA
JUAREZ NIK,1210,8,MTH,D,SY,S,45000,NA,37.79202931745304,train,NA,NA
ESQUIVEL EMMANUEL,1830,9,PRX,D,FT,AO,47000,NA,36.74829980543706,train,NA,NA
VELAZQUEZ J R,1760,9,AQU,D,FT,S,60000,NA,36.794766966475876,train,NA,NA
BISONO J,1830,9,PRX,D,FT,S,50000,NA,35.56467285683437,train,NA,NA
ORTIZ JOSE L,1870,9,AQU,d,MY,S,60000,NA,34.703320631464344,train,NA,NA
VELAZQUEZ J R,1760,9,AQU,D,FT,S,60000,NA,36.01440576230493,train,NA,NA
JUAREZ NIK,1980,10,KEE,D,FT,A,72000,NA,35.56375131717598,train,NA,NA
JUAREZ NIK,1870,10,GP,D,FT,G2,350000,NA,36.29721009679256,train,NA,NA
JUAREZ NIK,1760,10,GP,D,FT,N,100000,NA,36.272040302267,train,NA,NA
COURT J K,1870,10,CD,D,FT,G2,200000,NA,36.14970229656932,train,NA,NA
SANTANA RICARDO JR,1760,10,CD,D,FT,N,80000,NA,36.89280590284895,train,NA,NA
