country,GDPperCapita,lifeSatisfaction,logGDPperCapita,centeredLogGDP,cLabel
Peru,11770.034448234504,5.577263355000001,31249.060178545697,328.3893256665542,NA
Philippines,6874.582565517391,5.547489165999999,29456.371582076357,-1464.299270802785,NA
Poland,25299.974348489697,6.007021904,33800.264561979544,2879.5937091004016,NA
Portugal,26607.8331233896,5.080866337,33968.29732492438,3047.626472045238,NA
Qatar,119749.428536152,6.374529362,38983.03542982771,8062.364576948574,NA
Romania,20556.003642336294,5.777491093000001,33107.99295694086,2187.322104061721,NA
Russia,24516.549950271197,5.995538712,33695.398888049676,2774.728035170534,NA
Rwanda,1731.0434226774596,3.483108997,24858.660187355315,-6062.010665523827,NA
Saudi Arabia,50723.7126450691,6.345491886,36119.246087817904,5198.575234938762,NA
Senegal,2293.8535392657805,4.617000579999999,25797.16363586911,-5123.507217010028,NA
Serbia,13277.8001173574,5.317685126999999,31650.909205386837,730.2383525076948,NA
Sierra Leone,1314.2737277159,4.908617973,23940.38865266399,-6980.2822002151515,NA
Singapore,81741.09693552897,6.6195249559999985,37710.02929615684,6789.358443277699,NA
Slovakia,28308.879769853495,6.162004470999999,34174.89456651015,3254.223713631007,NA
Slovenia,29037.7416756681,5.740642071000001,34259.64358540151,3338.972732522365,NA
South Africa,12377.659259832904,4.887325764,31416.87310212419,496.20224924504873,NA
South Korea,34177.65447032211,5.780211449,34802.97717421042,3882.306321331278,NA
South Sudan,1875.38006599798,4.070771217,25125.656827356233,-5795.014025522909,NA
Spain,32291.1551993266,6.380663395000002,34613.686477710144,3693.015624831002,NA
Sri Lanka,11079.710677356004,4.611606598,31047.55902866834,126.8881757891977,NA
Sweden,45679.2779973863,7.28892231,35770.03122697364,4849.360374094496,NA
Switzerland,57264.1573970635,7.5721368789999985,36523.578046662034,5602.907193782892,NA
Tajikistan,2640.5895195793205,5.124210834999999,26266.46409541034,-4654.206757468801,NA
Tanzania,2490.9571005653806,3.660597324,26071.98432680716,-4848.686526071982,NA
Thailand,15252.2282530581,6.201762676,32113.085620725575,1192.4147678464324,NA
Togo,1351.05396273243,3.768301964,24032.405073185768,-6888.2657796933745,NA
Tunisia,10765.8862472411,5.131611824,30951.767613931752,31.09676105260951,NA
Turkey,23388.4813019367,5.5144653319999994,33538.359508325455,2617.6886554463126,NA
Turkmenistan,14992.3231371601,5.791460037,32055.785933832056,1135.1150809529136,NA
Uganda,1665.94990533102,4.237686634,24730.87806810613,-6189.792784773013,NA
Ukraine,7464.93983359294,3.964542866,29731.034263881807,-1189.636588997335,NA
United Arab Emirates,66569.40341444171,6.568397522,37025.553865155904,6104.883012276761,NA
United Kingdom,38839.1669568199,6.515445231999999,35229.23157510631,4308.560722227165,NA
United States,53005.6361464627,6.863946915,36265.9505690769,5345.279716197758,United States
Uruguay,19831.445898518807,6.628080367999998,32988.361043253884,2067.690190374742,NA
Uzbekistan,5700.23602764231,5.972364426,28831.866786338487,-2088.804066540655,NA
Vietnam,5554.8580556466095,5.076315403000001,28745.738162577378,-2174.932690301768,NA
Yemen,2308.63658440647,2.9826738829999995,25818.580032840924,-5102.090820038218,Yemen
Zambia,3627.20204093772,4.843164444,27324.82071164594,-3595.8501412332007,NA
Zimbabwe,1912.28026054006,3.703191280000001,25190.61671246096,-5730.054140418182,NA
